symptom,bodily_system,effected_area,mapping_note,old_bodily_system,old_effected_area
hand or finger cramps or spasms,musculoskeletal,hand,,Musculoskeletal,Hand
back stiffness or tightness,musculoskeletal,back,,Musculoskeletal,Back
wrist lump or mass,musculoskeletal,wrist,,Musculoskeletal,Wrist
skin pain,integumentary,skin,,Dermatologic,Skin
low back stiffness or tightness,musculoskeletal,back,,Musculoskeletal,Back
low urine output,urinary,kidneys,Broadly mapped to kidneys.,Urinary,Pelvis
skin on head or neck looks infected,integumentary,skin,,Dermatologic,Skin
stuttering or stammering,nervous,brain,Broadly mapped to brain/speech control areas.,Neurological,Head
problems with orgasm,reproductive,pelvis,Broadly mapped to reproductive organs because the symptom is functional.,Reproductive,Pelvis
nose deformity,ent,nose,,ENT,Nose
lump over jaw,ent,jaw,Broadly mapped to ENT/oral region.,"Musculoskeletal, Dental, Lymphatic",Head
sore in nose,ent,nose,,ENT,Nose
hip weakness,musculoskeletal,hip,,Neurological,Hip
back swelling,musculoskeletal,back,,Musculoskeletal,Back
ankle stiffness or tightness,musculoskeletal,ankle,,Musculoskeletal,Ankle
ankle weakness,musculoskeletal,ankle,,Neurological,Ankle
neck weakness,musculoskeletal,neck,,Neurological,Neck
